Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps
2022-05-25 00:50:11-07:00,2022-05-25 08:25:11-07:00,7.583333333333333,111.1034,2022-05-25,,,,,2766.0
2022-05-26 00:39:48-07:00,2022-05-26 07:23:18-07:00,6.725,61.7796,2022-05-26,,,,,22294.0
2022-05-27 02:35:33-07:00,2022-05-27 08:46:33-07:00,6.183333333333334,43.9555,2022-05-27,,,,,9508.0
2022-05-28 02:22:04-07:00,2022-05-28 09:44:04-07:00,7.366666666666666,37.1599,2022-05-28,,,,,14853.0
2022-05-29 02:58:08-07:00,2022-05-29 08:50:08-07:00,5.866666666666666,35.4722,2022-05-29,,,,,1421.0
,,,,2022-05-30,,,,,219.0
2022-05-31 01:06:18-07:00,2022-05-31 07:04:48-07:00,5.975,24.6239,2022-05-31,,,,,1310.0
,,,,2022-06-01,,,,,405.0
2022-06-02 01:50:59-07:00,2022-06-02 12:02:29-07:00,10.191666666666666,33.76005,2022-06-02,,,,,2807.0
2022-06-03 02:57:46-07:00,2022-06-03 12:15:46-07:00,9.3,58.877,2022-06-03,,,,,727.0
2022-06-04 01:50:43-07:00,2022-06-04 10:14:13-07:00,8.391666666666667,52.2915,2022-06-04,,,,,24561.0
2022-06-05 01:45:53-07:00,2022-06-05 12:00:53-07:00,10.25,52.545249999999996,2022-06-05,,,,,2314.0
2022-06-06 02:53:54-07:00,2022-06-06 10:08:24-07:00,7.241666666666666,48.9604,2022-06-06,,,,,7379.0
2022-06-07 02:38:13-07:00,2022-06-07 13:11:13-07:00,10.55,45.5763,2022-06-07,,,,,4863.0
2022-06-08 02:39:28-07:00,2022-06-08 08:30:28-07:00,5.85,72.1759,2022-06-08,,,,,14881.0
2022-06-09 01:57:50-07:00,2022-06-09 12:30:20-07:00,10.541666666666666,44.404566666666675,2022-06-09,,,,,2684.0
2022-06-10 03:06:54-07:00,2022-06-10 05:14:54-07:00,2.1333333333333333,133.192,2022-06-10,,,,,15060.0
2022-06-10 21:57:27-07:00,2022-06-11 04:56:57-07:00,6.991666666666666,40.3257,2022-06-11,,,,,22367.0
2022-06-11 21:46:03-07:00,2022-06-12 03:54:03-07:00,6.133333333333334,40.66035,2022-06-12,,,,,24868.0
2022-06-12 21:12:26-07:00,2022-06-13 03:02:56-07:00,5.841666666666667,68.6756,2022-06-13,,,,,19757.0
2022-06-13 21:24:56-07:00,2022-06-14 02:58:26-07:00,5.558333333333334,45.59,2022-06-14,,,,,21369.0
2022-06-14 23:03:25-07:00,2022-06-15 02:44:25-07:00,3.683333333333333,36.1663,2022-06-15,,,,,16914.0
2022-06-15 21:48:04-07:00,2022-06-16 03:39:04-07:00,5.85,75.96770000000001,2022-06-16,,,,,15755.0
,,,,2022-06-17,,,,,15459.0
2022-06-17 23:13:41-07:00,2022-06-18 06:31:41-07:00,7.3,44.091049999999996,2022-06-18,,,,,25816.0
2022-06-18 22:17:50-07:00,2022-06-18 23:32:50-07:00,1.25,,2022-06-18,,,,,25816.0
2022-06-19 04:20:20-07:00,2022-06-19 07:51:20-07:00,3.5166666666666666,42.728,2022-06-19,,,,,21953.0
2022-06-20 01:41:57-07:00,2022-06-20 05:13:27-07:00,3.525,41.5614,2022-06-20,,,,,22828.0
2022-06-21 02:04:22-07:00,2022-06-21 09:57:22-07:00,7.883333333333334,45.164649999999995,2022-06-21,,,,,19112.0
2022-06-22 04:25:09-07:00,2022-06-22 11:58:39-07:00,7.558333333333334,42.04495,2022-06-22,,,,,13639.0
2022-06-23 03:28:38-07:00,2022-06-23 11:20:38-07:00,7.866666666666666,56.25865,2022-06-23,,,,,15727.0
2022-06-24 03:04:17-07:00,2022-06-24 11:28:47-07:00,8.408333333333333,35.672399999999996,2022-06-24,,,,,13212.0
2022-06-25 00:59:55-07:00,2022-06-25 01:20:25-07:00,0.3416666666666667,,2022-06-25,,,,,12119.0
2022-06-25 05:22:55-07:00,2022-06-25 13:12:25-07:00,7.825,53.434650000000005,2022-06-25,,,,,12119.0
2022-06-26 05:37:03-07:00,2022-06-26 11:33:03-07:00,5.933333333333334,43.3344,2022-06-26,,,,,10480.0
,,,,2022-06-27,,,,,8060.0
2022-06-28 03:38:03-07:00,2022-06-28 12:22:33-07:00,8.741666666666667,35.77793333333333,2022-06-28,,,,,2323.0
,,,,2022-06-29,,,,,4076.0
2022-06-30 02:40:10-07:00,2022-06-30 10:59:40-07:00,8.325,37.66435,2022-06-30,,,,,9071.0
2022-07-01 03:30:01-07:00,2022-07-01 11:05:31-07:00,7.591666666666667,53.1957,2022-07-01,,,,,12581.0
2022-07-02 03:26:38-07:00,2022-07-02 09:00:08-07:00,5.558333333333334,,2022-07-02,,,,,6674.0
2022-07-03 02:04:27-07:00,2022-07-03 10:13:57-07:00,8.158333333333333,47.76095,2022-07-03,,,,,6984.0
2022-07-04 02:58:39-07:00,2022-07-04 11:18:39-07:00,8.333333333333334,45.77009999999999,2022-07-04,,,,,10489.0
,,,,2022-07-05,,,,,1121.0
2022-07-06 02:33:59-07:00,2022-07-06 12:01:29-07:00,9.458333333333334,69.9734,2022-07-06,,,,,4777.0
2022-07-07 02:29:38-07:00,2022-07-07 10:06:08-07:00,7.608333333333333,41.53895,2022-07-07,,,,,2446.0
2022-07-08 02:49:31-07:00,2022-07-08 11:33:31-07:00,8.733333333333333,55.13705,2022-07-08,,,,,3635.0
,,,,2022-07-09,,,,,8970.0
2022-07-10 03:05:19-07:00,2022-07-10 10:36:49-07:00,7.525,35.8835,2022-07-10,,,,,27265.0
2022-07-11 00:11:31-07:00,2022-07-11 06:39:31-07:00,6.466666666666667,62.07325,2022-07-11,,,,,32408.0
2022-07-12 00:46:43-07:00,2022-07-12 06:55:43-07:00,6.15,53.8612,2022-07-12,,,,,29970.0
2022-07-13 00:27:20-07:00,2022-07-13 06:57:50-07:00,6.508333333333334,38.2841,2022-07-13,,,,,30120.0
2022-07-14 00:40:25-07:00,2022-07-14 06:43:25-07:00,6.05,35.31435,2022-07-14,,,,,20222.0
